Epoch:   87 Error:  26.65472, train_ok:   0/204, test_ok:   0/52
Epoch:   88 Error:  25.21274, train_ok:   0/204, test_ok:   0/52
Epoch:   89 Error:  25.63659, train_ok:   0/204, test_ok:   0/52
Epoch:   90 Error:  25.56572, train_ok:   0/204, test_ok:   0/52
Epoch:   91 Error:  25.13138, train_ok:   0/204, test_ok:   0/52
Epoch:   92 Error:  27.12491, train_ok:   0/204, test_ok:   0/52
Epoch:   93 Error:  25.96555, train_ok:   0/204, test_ok:   0/52
Epoch:   94 Error:  25.28310, train_ok:   0/204, test_ok:   0/52
Epoch:   95 Error:  25.51969, train_ok:   0/204, test_ok:   0/52
Epoch:   96 Error:  26.31773, train_ok:   0/204, test_ok:   0/52
Epoch:   97 Error:  25.41640, train_ok:   0/204, test_ok:   0/52
Epoch:   98 Error:  25.52030, train_ok:   0/204, test_ok:   0/52
Epoch:   99 Error:  27.21275, train_ok:   0/204, test_ok:   0/52
Epoch:  100 Error:  25.53343, train_ok:   0/204, test_ok:   0/52
Epoch:  101 Error:  25.06915, train_ok:   0/204, test_ok:   0/52
Epoch:  102 Error:  25.03112, train_ok:   0/204, test_ok:   0/52
Epoch:  103 Error:  25.24304, train_ok:   0/204, test_ok:   0/52
Epoch:  104 Error:  25.22848, train_ok:   0/204, test_ok:   0/52
Epoch:  105 Error:  25.44292, train_ok:   0/204, test_ok:   0/52
Epoch:  106 Error:  26.45946, train_ok:   0/204, test_ok:   0/52
Epoch:  107 Error:  25.61564, train_ok:   0/204, test_ok:   0/52
Epoch:  108 Error:  25.06189, train_ok:   0/204, test_ok:   0/52
Epoch:  109 Error:  25.83597, train_ok:   0/204, test_ok:   0/52
Epoch:  110 Error:  26.15466, train_ok:   0/204, test_ok:   0/52
Epoch:  111 Error:  24.95262, train_ok:   0/204, test_ok:   0/52
Epoch:  112 Error:  25.40905, train_ok:   0/204, test_ok:   0/52
Epoch:  113 Error:  24.97129, train_ok:   0/204, test_ok:   0/52
Epoch:  114 Error:  25.20860, train_ok:   0/204, test_ok:   0/52
Epoch:  115 Error:  26.77604, train_ok:   0/204, test_ok:   0/52
Epoch:  116 Error:  24.98110, train_ok:   0/204, test_ok:   0/52
Epoch:  117 Error:  26.71351, train_ok:   0/204, test_ok:   0/52
Epoch:  118 Error:  24.91630, train_ok:   0/204, test_ok:   0/52
Epoch:  119 Error:  25.45183, train_ok:   0/204, test_ok:   0/52
Epoch:  120 Error:  25.04305, train_ok:   0/204, test_ok:   0/52
Epoch:  121 Error:  25.12243, train_ok:   0/204, test_ok:   0/52
Epoch:  122 Error:  25.06895, train_ok:   0/204, test_ok:   0/52
Epoch:  123 Error:  24.86415, train_ok:   0/204, test_ok:   0/52
Epoch:  124 Error:  24.80369, train_ok:   0/204, test_ok:   0/52
Epoch:  125 Error:  24.82765, train_ok:   0/204, test_ok:   0/52
Epoch:  126 Error:  24.93666, train_ok:   0/204, test_ok:   0/52
Epoch:  127 Error:  24.78377, train_ok:   0/204, test_ok:   0/52
Epoch:  128 Error:  25.07493, train_ok:   0/204, test_ok:   0/52
Epoch:  129 Error:  25.89593, train_ok:   0/204, test_ok:   0/52
Epoch:  130 Error:  25.43610, train_ok:   0/204, test_ok:   0/52
Epoch:  131 Error:  24.80883, train_ok:   0/204, test_ok:   0/52
Epoch:  132 Error:  25.02595, train_ok:   0/204, test_ok:   0/52
Epoch:  133 Error:  24.64893, train_ok:   0/204, test_ok:   0/52
Epoch:  134 Error:  26.19361, train_ok:   0/204, test_ok:   0/52
Epoch:  135 Error:  26.08048, train_ok:   0/204, test_ok:   0/52
Epoch:  136 Error:  24.59344, train_ok:   0/204, test_ok:   0/52
Epoch:  137 Error:  25.92611, train_ok:   0/204, test_ok:   0/52
Epoch:  138 Error:  24.62609, train_ok:   0/204, test_ok:   0/52
Epoch:  139 Error:  25.19595, train_ok:   0/204, test_ok:   0/52
Epoch:  140 Error:  25.62529, train_ok:   0/204, test_ok:   0/52
Epoch:  141 Error:  25.00499, train_ok:   0/204, test_ok:   0/52
Epoch:  142 Error:  24.48426, train_ok:   0/204, test_ok:   0/52
Epoch:  143 Error:  24.49442, train_ok:   0/204, test_ok:   0/52
Epoch:  144 Error:  24.83987, train_ok:   0/204, test_ok:   0/52
Epoch:  145 Error:  24.75460, train_ok:   0/204, test_ok:   0/52
Epoch:  146 Error:  24.85400, train_ok:   0/204, test_ok:   0/52
Epoch:  147 Error:  24.64054, train_ok:   0/204, test_ok:   0/52
Epoch:  148 Error:  24.38354, train_ok:   0/204, test_ok:   0/52
Epoch:  149 Error:  24.97618, train_ok:   0/204, test_ok:   0/52
Epoch:  150 Error:  24.35613, train_ok:   0/204, test_ok:   0/52
Epoch:  151 Error:  24.34544, train_ok:   0/204, test_ok:   0/52
Epoch:  152 Error:  24.45288, train_ok:   0/204, test_ok:   0/52
Epoch:  153 Error:  24.37740, train_ok:   0/204, test_ok:   0/52
Epoch:  154 Error:  25.56578, train_ok:   0/204, test_ok:   0/52
Epoch:  155 Error:  24.38476, train_ok:   0/204, test_ok:   0/52
Epoch:  156 Error:  24.27167, train_ok:   0/204, test_ok:   0/52
Epoch:  157 Error:  24.27336, train_ok:   0/204, test_ok:   0/52
Epoch:  158 Error:  24.49964, train_ok:   0/204, test_ok:   0/52
Epoch:  159 Error:  25.24952, train_ok:   0/204, test_ok:   0/52
Epoch:  160 Error:  24.76850, train_ok:   0/204, test_ok:   0/52
Epoch:  161 Error:  25.44899, train_ok:   0/204, test_ok:   0/52
Epoch:  162 Error:  24.56504, train_ok:   0/204, test_ok:   0/52
Epoch:  163 Error:  25.77682, train_ok:   0/204, test_ok:   0/52
Epoch:  164 Error:  24.69110, train_ok:   0/204, test_ok:   0/52
Epoch:  165 Error:  24.57500, train_ok:   0/204, test_ok:   0/52
Epoch:  166 Error:  25.94546, train_ok:   0/204, test_ok:   0/52
Epoch:  167 Error:  26.21162, train_ok:   0/204, test_ok:   0/52
Epoch:  168 Error:  24.14211, train_ok:   0/204, test_ok:   0/52
Epoch:  169 Error:  24.16972, train_ok:   0/204, test_ok:   0/52
Epoch:  170 Error:  24.63014, train_ok:   0/204, test_ok:   0/52
Epoch:  171 Error:  24.30096, train_ok:   0/204, test_ok:   0/52
Epoch:  172 Error:  24.03666, train_ok:   0/204, test_ok:   0/52
Epoch:  173 Error:  24.73264, train_ok:   0/204, test_ok:   0/52
Epoch:  174 Error:  24.05193, train_ok:   0/204, test_ok:   0/52
Epoch:  175 Error:  26.38754, train_ok:   1/204, test_ok:   0/52
Epoch:  176 Error:  24.01186, train_ok:   0/204, test_ok:   0/52
Epoch:  177 Error:  23.98203, train_ok:   0/204, test_ok:   0/52
Epoch:  178 Error:  24.08687, train_ok:   0/204, test_ok:   0/52
Epoch:  179 Error:  24.49204, train_ok:   0/204, test_ok:   0/52
Epoch:  180 Error:  24.51926, train_ok:   0/204, test_ok:   0/52
Epoch:  181 Error:  24.61427, train_ok:   0/204, test_ok:   0/52
Epoch:  182 Error:  24.32433, train_ok:   0/204, test_ok:   0/52
Epoch:  183 Error:  24.47977, train_ok:   0/204, test_ok:   0/52
Epoch:  184 Error:  24.40330, train_ok:   0/204, test_ok:   0/52
Epoch:  185 Error:  25.02119, train_ok:   1/204, test_ok:   0/52
Epoch:  186 Error:  23.81866, train_ok:   0/204, test_ok:   0/52
Epoch:  187 Error:  23.99411, train_ok:   0/204, test_ok:   0/52
Epoch:  188 Error:  23.80851, train_ok:   0/204, test_ok:   0/52
Epoch:  189 Error:  23.82866, train_ok:   0/204, test_ok:   0/52
Epoch:  190 Error:  24.11359, train_ok:   0/204, test_ok:   0/52
Epoch:  191 Error:  24.82702, train_ok:   0/204, test_ok:   0/52
Epoch:  192 Error:  23.79183, train_ok:   0/204, test_ok:   0/52
Epoch:  193 Error:  24.95178, train_ok:   2/204, test_ok:   0/52
Epoch:  194 Error:  24.66133, train_ok:   0/204, test_ok:   0/52
Epoch:  195 Error:  23.90693, train_ok:   0/204, test_ok:   0/52
Epoch:  196 Error:  23.76150, train_ok:   0/204, test_ok:   0/52
Epoch:  197 Error:  23.70911, train_ok:   0/204, test_ok:   0/52
Epoch:  198 Error:  24.33132, train_ok:   0/204, test_ok:   0/52
Epoch:  199 Error:  23.72014, train_ok:   0/204, test_ok:   0/52
Epoch:  200 Error:  24.10305, train_ok:   0/204, test_ok:   0/52
Epoch:  201 Error:  23.89416, train_ok:   0/204, test_ok:   0/52
Epoch:  202 Error:  23.78956, train_ok:   0/204, test_ok:   0/52
Epoch:  203 Error:  23.79713, train_ok:   0/204, test_ok:   0/52
Epoch:  204 Error:  23.63445, train_ok:   0/204, test_ok:   0/52
Epoch:  205 Error:  24.92692, train_ok:   2/204, test_ok:   0/52
Epoch:  206 Error:  23.76049, train_ok:   0/204, test_ok:   0/52
Epoch:  207 Error:  23.73128, train_ok:   0/204, test_ok:   0/52
Epoch:  208 Error:  24.35279, train_ok:   2/204, test_ok:   0/52
Epoch:  209 Error:  24.64035, train_ok:   1/204, test_ok:   0/52
Epoch:  210 Error:  23.88935, train_ok:   1/204, test_ok:   0/52
Epoch:  211 Error:  23.61654, train_ok:   0/204, test_ok:   0/52
Epoch:  212 Error:  23.96570, train_ok:   1/204, test_ok:   0/52
Epoch:  213 Error:  23.60938, train_ok:   0/204, test_ok:   0/52
Epoch:  214 Error:  23.55527, train_ok:   0/204, test_ok:   0/52
Epoch:  215 Error:  24.07231, train_ok:   0/204, test_ok:   0/52
Epoch:  216 Error:  24.39657, train_ok:   2/204, test_ok:   0/52
Epoch:  217 Error:  23.57775, train_ok:   1/204, test_ok:   0/52
Epoch:  218 Error:  24.94117, train_ok:   2/204, test_ok:   0/52
Epoch:  219 Error:  23.07609, train_ok:   0/204, test_ok:   0/52
Epoch:  220 Error:  23.44315, train_ok:   0/204, test_ok:   0/52
Epoch:  221 Error:  23.27968, train_ok:   2/204, test_ok:   0/52
Epoch:  222 Error:  22.62056, train_ok:   0/204, test_ok:   0/52
Epoch:  223 Error:  22.97348, train_ok:   5/204, test_ok:   0/52
Epoch:  224 Error:  25.34704, train_ok:   4/204, test_ok:   0/52
Epoch:  225 Error:  22.06566, train_ok:   4/204, test_ok:   0/52
Epoch:  226 Error:  21.91905, train_ok:   4/204, test_ok:   0/52
Epoch:  227 Error:  22.65974, train_ok:   1/204, test_ok:   0/52
Epoch:  228 Error:  21.71737, train_ok:   5/204, test_ok:   0/52
