Epoch:   87 Error:  27.26203, train_ok:   0/204, test_ok:   0/52
Epoch:   88 Error:  25.57530, train_ok:   0/204, test_ok:   0/52
Epoch:   89 Error:  26.04868, train_ok:   0/204, test_ok:   0/52
Epoch:   90 Error:  25.84544, train_ok:   0/204, test_ok:   0/52
Epoch:   91 Error:  25.55900, train_ok:   0/204, test_ok:   0/52
Epoch:   92 Error:  27.34274, train_ok:   0/204, test_ok:   0/52
Epoch:   93 Error:  26.17278, train_ok:   0/204, test_ok:   0/52
Epoch:   94 Error:  25.74489, train_ok:   0/204, test_ok:   0/52
Epoch:   95 Error:  25.87031, train_ok:   0/204, test_ok:   0/52
Epoch:   96 Error:  26.46642, train_ok:   0/204, test_ok:   0/52
Epoch:   97 Error:  25.90952, train_ok:   0/204, test_ok:   0/52
Epoch:   98 Error:  25.80845, train_ok:   0/204, test_ok:   0/52
Epoch:   99 Error:  27.55597, train_ok:   0/204, test_ok:   0/52
Epoch:  100 Error:  26.03384, train_ok:   0/204, test_ok:   0/52
Epoch:  101 Error:  25.51870, train_ok:   0/204, test_ok:   0/52
Epoch:  102 Error:  25.48500, train_ok:   0/204, test_ok:   0/52
Epoch:  103 Error:  25.74835, train_ok:   0/204, test_ok:   0/52
Epoch:  104 Error:  25.72169, train_ok:   0/204, test_ok:   0/52
Epoch:  105 Error:  25.82136, train_ok:   0/204, test_ok:   0/52
Epoch:  106 Error:  26.79819, train_ok:   0/204, test_ok:   0/52
Epoch:  107 Error:  26.25659, train_ok:   0/204, test_ok:   0/52
Epoch:  108 Error:  25.56952, train_ok:   0/204, test_ok:   0/52
Epoch:  109 Error:  26.28141, train_ok:   0/204, test_ok:   0/52
Epoch:  110 Error:  26.57346, train_ok:   0/204, test_ok:   0/52
Epoch:  111 Error:  25.48402, train_ok:   0/204, test_ok:   0/52
Epoch:  112 Error:  25.96958, train_ok:   0/204, test_ok:   0/52
Epoch:  113 Error:  25.44703, train_ok:   0/204, test_ok:   0/52
Epoch:  114 Error:  25.79580, train_ok:   0/204, test_ok:   0/52
Epoch:  115 Error:  27.29732, train_ok:   0/204, test_ok:   0/52
Epoch:  116 Error:  25.57101, train_ok:   0/204, test_ok:   0/52
Epoch:  117 Error:  27.00911, train_ok:   0/204, test_ok:   0/52
Epoch:  118 Error:  25.42285, train_ok:   0/204, test_ok:   0/52
Epoch:  119 Error:  26.15159, train_ok:   0/204, test_ok:   0/52
Epoch:  120 Error:  25.61835, train_ok:   0/204, test_ok:   0/52
