Epoch:   87 Error:  26.18706, train_ok:   1/204, test_ok:   0/52
Epoch:   88 Error:  23.88760, train_ok:   0/204, test_ok:   0/52
Epoch:   89 Error:  23.99888, train_ok:   0/204, test_ok:   0/52
Epoch:   90 Error:  23.74937, train_ok:   0/204, test_ok:   0/52
Epoch:   91 Error:  23.57315, train_ok:   0/204, test_ok:   0/52
Epoch:   92 Error:  25.47746, train_ok:   0/204, test_ok:   0/52
Epoch:   93 Error:  23.57752, train_ok:   1/204, test_ok:   0/52
Epoch:   94 Error:  23.27401, train_ok:   0/204, test_ok:   0/52
Epoch:   95 Error:  23.50526, train_ok:   0/204, test_ok:   0/52
Epoch:   96 Error:  23.57857, train_ok:   2/204, test_ok:   0/52
Epoch:   97 Error:  22.61092, train_ok:   2/204, test_ok:   0/52
Epoch:   98 Error:  23.00220, train_ok:   0/204, test_ok:   0/52
Epoch:   99 Error:  23.88675, train_ok:  14/204, test_ok:   0/52
Epoch:  100 Error:  22.77320, train_ok:   0/204, test_ok:   0/52
Epoch:  101 Error:  21.69975, train_ok:   8/204, test_ok:   0/52
Epoch:  102 Error:  21.58274, train_ok:   2/204, test_ok:   0/52
Epoch:  103 Error:  21.20889, train_ok:   2/204, test_ok:   0/52
Epoch:  104 Error:  21.52802, train_ok:  13/204, test_ok:   3/52
Epoch:  105 Error:  22.69495, train_ok:   2/204, test_ok:   0/52
Epoch:  106 Error:  22.70770, train_ok:  26/204, test_ok:   3/52
Epoch:  107 Error:  20.98844, train_ok:  21/204, test_ok:   0/52
Epoch:  108 Error:  21.10951, train_ok:  24/204, test_ok:   1/52
Epoch:  109 Error:  24.05139, train_ok:  28/204, test_ok:   3/52
Epoch:  110 Error:  21.09949, train_ok:  26/204, test_ok:   4/52
Epoch:  111 Error:  19.95743, train_ok:  14/204, test_ok:   0/52
Epoch:  112 Error:  19.67957, train_ok:  16/204, test_ok:   0/52
Epoch:  113 Error:  19.33236, train_ok:  25/204, test_ok:   1/52
Epoch:  114 Error:  19.36784, train_ok:  33/204, test_ok:   5/52
Epoch:  115 Error:  19.07367, train_ok:  36/204, test_ok:   5/52
Epoch:  116 Error:  16.72826, train_ok:  33/204, test_ok:   4/52
Epoch:  117 Error:  18.33269, train_ok:  45/204, test_ok:  10/52
Epoch:  118 Error:  16.22715, train_ok:  54/204, test_ok:  10/52
Epoch:  119 Error:  16.36986, train_ok:  70/204, test_ok:  11/52
Epoch:  120 Error:  16.47260, train_ok:  67/204, test_ok:  13/52
Epoch:  121 Error:  17.16717, train_ok:  62/204, test_ok:  14/52
Epoch:  122 Error:  17.58893, train_ok:  78/204, test_ok:  13/52
Epoch:  123 Error:  22.66513, train_ok:  71/204, test_ok:   9/52
Epoch:  124 Error:  16.24227, train_ok:  76/204, test_ok:  13/52
Epoch:  125 Error:  14.37358, train_ok:  69/204, test_ok:  11/52
Epoch:  126 Error:  11.91114, train_ok:  52/204, test_ok:  13/52
Epoch:  127 Error:  10.90531, train_ok:  51/204, test_ok:  12/52
Epoch:  128 Error:   9.74506, train_ok:  59/204, test_ok:  13/52
Epoch:  129 Error:   9.53492, train_ok:  71/204, test_ok:  15/52
Epoch:  130 Error:  10.90292, train_ok:  87/204, test_ok:  11/52
Epoch:  131 Error:   9.19350, train_ok:  96/204, test_ok:  19/52
Epoch:  132 Error:   8.97812, train_ok: 114/204, test_ok:  20/52
Epoch:  133 Error:   9.14417, train_ok: 107/204, test_ok:  18/52
Epoch:  134 Error:   8.98730, train_ok: 100/204, test_ok:  16/52
Epoch:  135 Error:   8.86324, train_ok: 114/204, test_ok:  19/52
Epoch:  136 Error:   8.84216, train_ok: 113/204, test_ok:  20/52
Epoch:  137 Error:   8.76952, train_ok: 121/204, test_ok:  18/52
Epoch:  138 Error:   8.79783, train_ok: 125/204, test_ok:  20/52
Epoch:  139 Error:   8.57981, train_ok: 117/204, test_ok:  21/52
Epoch:  140 Error:   9.29182, train_ok:  94/204, test_ok:  14/52
Epoch:  141 Error:   8.73915, train_ok: 154/204, test_ok:  28/52
Epoch:  142 Error:   8.77046, train_ok: 160/204, test_ok:  28/52
Epoch:  143 Error:   8.75048, train_ok: 162/204, test_ok:  29/52
Epoch:  144 Error:   8.81408, train_ok: 165/204, test_ok:  29/52
Epoch:  145 Error:   8.40073, train_ok: 122/204, test_ok:  21/52
Epoch:  146 Error:   8.52006, train_ok: 128/204, test_ok:  21/52
Epoch:  147 Error:   8.60382, train_ok: 159/204, test_ok:  28/52
Epoch:  148 Error:   8.48902, train_ok: 128/204, test_ok:  21/52
Epoch:  149 Error:   8.50008, train_ok: 156/204, test_ok:  28/52
Epoch:  150 Error:   8.86087, train_ok: 181/204, test_ok:  35/52
Epoch:  151 Error:   8.32411, train_ok: 119/204, test_ok:  20/52
Epoch:  152 Error:   8.57648, train_ok: 163/204, test_ok:  29/52
Epoch:  153 Error:   8.41035, train_ok: 128/204, test_ok:  21/52
Epoch:  154 Error:   8.33041, train_ok: 128/204, test_ok:  21/52
Epoch:  155 Error:   8.28537, train_ok: 128/204, test_ok:  21/52
Epoch:  156 Error:   8.33127, train_ok: 119/204, test_ok:  20/52
Epoch:  157 Error:   8.48990, train_ok: 159/204, test_ok:  28/52
Epoch:  158 Error:   8.36612, train_ok: 128/204, test_ok:  21/52
Epoch:  159 Error:   8.71403, train_ok: 165/204, test_ok:  29/52
Epoch:  160 Error:   8.60409, train_ok: 165/204, test_ok:  29/52
Epoch:  161 Error:   8.43481, train_ok: 153/204, test_ok:  27/52
Epoch:  162 Error:   8.54591, train_ok: 165/204, test_ok:  28/52
Epoch:  163 Error:   8.24251, train_ok: 129/204, test_ok:  21/52
Epoch:  164 Error:   8.51922, train_ok: 163/204, test_ok:  28/52
Epoch:  165 Error:   8.34090, train_ok: 147/204, test_ok:  24/52
Epoch:  166 Error:   8.28790, train_ok: 118/204, test_ok:  20/52
Epoch:  167 Error:  14.31038, train_ok:  88/204, test_ok:  13/52
Epoch:  168 Error:   8.37849, train_ok: 154/204, test_ok:  26/52
Epoch:  169 Error:   8.09602, train_ok: 144/204, test_ok:  22/52
